kd_tree,dimension,n,k,time
kd_tree,3,50000,500,256
kd_tree,3,50000,600,287
kd_tree,3,50000,700,315
kd_tree,3,50000,800,341
kd_tree,3,50000,900,364
kd_tree,3,50000,1000,387
kd_tree,3,60000,100,96
kd_tree,3,60000,200,153
kd_tree,3,60000,300,199
kd_tree,3,60000,400,240
kd_tree,3,60000,500,272
kd_tree,3,60000,600,306
kd_tree,3,60000,700,335
kd_tree,3,60000,800,364
kd_tree,3,60000,900,389
kd_tree,3,60000,1000,411
kd_tree,3,70000,100,107
kd_tree,3,70000,200,169
kd_tree,3,70000,300,219
kd_tree,3,70000,400,265
kd_tree,3,70000,500,300
kd_tree,3,70000,600,338
kd_tree,3,70000,700,370
kd_tree,3,70000,800,402
kd_tree,3,70000,900,429
kd_tree,3,70000,1000,454
kd_tree,4,10000,100,52
kd_tree,4,10000,200,81
kd_tree,4,10000,300,102
kd_tree,4,10000,400,121
kd_tree,4,10000,500,136
kd_tree,4,10000,600,151
kd_tree,4,10000,700,164
kd_tree,4,10000,800,176
kd_tree,4,10000,900,185
kd_tree,4,10000,1000,193
kd_tree,4,20000,100,70
kd_tree,4,20000,200,110
kd_tree,4,20000,300,142
kd_tree,4,20000,400,169
kd_tree,4,20000,500,193
kd_tree,4,20000,600,217
kd_tree,4,20000,700,238
kd_tree,4,20000,800,256
kd_tree,4,20000,900,276
kd_tree,4,20000,1000,289
kd_tree,4,30000,100,81
kd_tree,4,30000,200,129
kd_tree,4,30000,300,167
kd_tree,4,30000,400,200
kd_tree,4,30000,500,229
kd_tree,4,30000,600,260
kd_tree,4,30000,700,284
kd_tree,4,30000,800,309
kd_tree,4,30000,900,330
kd_tree,4,30000,1000,360
kd_tree,4,40000,100,93
kd_tree,4,40000,200,148
kd_tree,4,40000,300,192
kd_tree,4,40000,400,229
kd_tree,4,40000,500,263
kd_tree,4,40000,600,298
kd_tree,4,40000,700,326
kd_tree,4,40000,800,355
kd_tree,4,40000,900,380
kd_tree,4,40000,1000,401
kd_tree,4,50000,100,101
kd_tree,4,50000,200,159
kd_tree,4,50000,300,208
kd_tree,4,50000,400,253
kd_tree,4,50000,500,290
kd_tree,4,50000,600,329
kd_tree,4,50000,700,365
kd_tree,4,50000,800,399
kd_tree,4,50000,900,423
kd_tree,4,50000,1000,454
kd_tree,4,60000,100,102
kd_tree,4,60000,200,171
kd_tree,4,60000,300,231
kd_tree,4,60000,400,264
kd_tree,4,60000,500,314
kd_tree,4,60000,600,346
kd_tree,4,60000,700,372
kd_tree,4,60000,800,419
kd_tree,4,60000,900,436
kd_tree,4,60000,1000,474
kd_tree,4,70000,100,108
kd_tree,4,70000,200,173
kd_tree,4,70000,300,240
kd_tree,4,70000,400,282
kd_tree,4,70000,500,319
kd_tree,4,70000,600,369
kd_tree,4,70000,700,398
kd_tree,4,70000,800,432
kd_tree,4,70000,900,466
kd_tree,4,70000,1000,506
kd_tree,5,10000,100,63
kd_tree,5,10000,200,91
kd_tree,5,10000,300,116
kd_tree,5,10000,400,136
kd_tree,5,10000,500,152
kd_tree,5,10000,600,174
kd_tree,5,10000,700,184
kd_tree,5,10000,800,196
kd_tree,5,10000,900,207
kd_tree,5,10000,1000,218
kd_tree,5,20000,100,81
kd_tree,5,20000,200,122
kd_tree,5,20000,300,157
kd_tree,5,20000,400,187
kd_tree,5,20000,500,212
kd_tree,5,20000,600,240
kd_tree,5,20000,700,260
kd_tree,5,20000,800,282
kd_tree,5,20000,900,297
kd_tree,5,20000,1000,314
kd_tree,5,30000,100,85
kd_tree,5,30000,200,132
kd_tree,5,30000,300,173
kd_tree,5,30000,400,207
kd_tree,5,30000,500,237
kd_tree,5,30000,600,266
kd_tree,5,30000,700,293
kd_tree,5,30000,800,319
kd_tree,5,30000,900,342
kd_tree,5,30000,1000,363
kd_tree,5,40000,100,109
kd_tree,5,40000,200,166
kd_tree,5,40000,300,214
kd_tree,5,40000,400,258
kd_tree,5,40000,500,294
kd_tree,5,40000,600,332
kd_tree,5,40000,700,364
kd_tree,5,40000,800,396
kd_tree,5,40000,900,423
kd_tree,5,40000,1000,461
kd_tree,5,50000,100,121
kd_tree,5,50000,200,186
kd_tree,5,50000,300,238
kd_tree,5,50000,400,285
kd_tree,5,50000,500,325
kd_tree,5,50000,600,364
kd_tree,5,50000,700,402
kd_tree,5,50000,800,437
kd_tree,5,50000,900,468
kd_tree,5,50000,1000,497
kd_tree,5,60000,100,121
kd_tree,5,60000,200,187
kd_tree,5,60000,300,242
kd_tree,5,60000,400,290
kd_tree,5,60000,500,331
kd_tree,5,60000,600,374
kd_tree,5,60000,700,411
kd_tree,5,60000,800,449
kd_tree,5,60000,900,482
kd_tree,5,60000,1000,513
kd_tree,5,70000,100,126
kd_tree,5,70000,200,194
kd_tree,5,70000,300,252
kd_tree,5,70000,400,302
kd_tree,5,70000,500,346
kd_tree,5,70000,600,392
kd_tree,5,70000,700,430
kd_tree,5,70000,800,469
kd_tree,5,70000,900,517
kd_tree,5,70000,1000,538
kd_tree,6,10000,100,70
kd_tree,6,10000,200,102
kd_tree,6,10000,300,126
kd_tree,6,10000,400,150
kd_tree,6,10000,500,166
kd_tree,6,10000,600,183
kd_tree,6,10000,700,192
kd_tree,6,10000,800,219
kd_tree,6,10000,900,235
kd_tree,6,10000,1000,236
kd_tree,6,20000,100,104
kd_tree,6,20000,200,148
