dumb_knn,dimension,n,k,time
dumb_knn,3,4000,300,147
dumb_knn,3,4000,400,152
dumb_knn,3,4000,500,160
dumb_knn,3,4000,600,165
dumb_knn,3,4000,700,166
dumb_knn,3,4000,800,169
dumb_knn,3,4000,900,168
dumb_knn,3,4000,1000,167
dumb_knn,3,5000,100,154
dumb_knn,3,5000,200,169
dumb_knn,3,5000,300,178
dumb_knn,3,5000,400,185
dumb_knn,3,5000,500,190
dumb_knn,3,5000,600,195
dumb_knn,3,5000,700,204
dumb_knn,3,5000,800,205
dumb_knn,3,5000,900,206
dumb_knn,3,5000,1000,212
dumb_knn,3,6000,100,185
dumb_knn,3,6000,200,201
dumb_knn,3,6000,300,210
dumb_knn,3,6000,400,218
dumb_knn,3,6000,500,225
dumb_knn,3,6000,600,225
dumb_knn,3,6000,700,234
dumb_knn,3,6000,800,240
dumb_knn,3,6000,900,244
dumb_knn,3,6000,1000,247
dumb_knn,3,7000,100,206
dumb_knn,3,7000,200,224
dumb_knn,3,7000,300,235
dumb_knn,3,7000,400,245
dumb_knn,3,7000,500,252
dumb_knn,3,7000,600,257
dumb_knn,3,7000,700,260
dumb_knn,3,7000,800,267
dumb_knn,3,7000,900,273
dumb_knn,3,7000,1000,280
dumb_knn,4,1000,100,50
dumb_knn,4,1000,200,57
dumb_knn,4,1000,300,56
dumb_knn,4,1000,400,67
dumb_knn,4,1000,500,59
dumb_knn,4,1000,600,66
dumb_knn,4,1000,700,51
dumb_knn,4,1000,800,57
dumb_knn,4,1000,900,48
dumb_knn,4,1000,1000,0
dumb_knn,4,2000,100,93
dumb_knn,4,2000,200,98
dumb_knn,4,2000,300,108
dumb_knn,4,2000,400,112
dumb_knn,4,2000,500,110
dumb_knn,4,2000,600,108
dumb_knn,4,2000,700,106
dumb_knn,4,2000,800,129
dumb_knn,4,2000,900,124
dumb_knn,4,2000,1000,116
dumb_knn,4,3000,100,132
dumb_knn,4,3000,200,140
dumb_knn,4,3000,300,147
dumb_knn,4,3000,400,157
dumb_knn,4,3000,500,160
dumb_knn,4,3000,600,165
dumb_knn,4,3000,700,165
dumb_knn,4,3000,800,156
dumb_knn,4,3000,900,158
dumb_knn,4,3000,1000,154
dumb_knn,4,4000,100,168
dumb_knn,4,4000,200,183
dumb_knn,4,4000,300,189
dumb_knn,4,4000,400,192
dumb_knn,4,4000,500,203
dumb_knn,4,4000,600,213
dumb_knn,4,4000,700,213
dumb_knn,4,4000,800,220
dumb_knn,4,4000,900,220
dumb_knn,4,4000,1000,214
dumb_knn,4,5000,100,206
dumb_knn,4,5000,200,222
dumb_knn,4,5000,300,233
dumb_knn,4,5000,400,238
dumb_knn,4,5000,500,242
dumb_knn,4,5000,600,251
dumb_knn,4,5000,700,263
dumb_knn,4,5000,800,266
dumb_knn,4,5000,900,268
dumb_knn,4,5000,1000,273
dumb_knn,4,6000,100,240
dumb_knn,4,6000,200,257
dumb_knn,4,6000,300,273
dumb_knn,4,6000,400,279
dumb_knn,4,6000,500,284
dumb_knn,4,6000,600,288
dumb_knn,4,6000,700,298
dumb_knn,4,6000,800,310
dumb_knn,4,6000,900,315
dumb_knn,4,6000,1000,317
dumb_knn,4,7000,100,278
dumb_knn,4,7000,200,300
